FIPS code,State,County Name,Total: Disability Compensation Recipients,SCD rating: 0% to 20%,SCD rating: 30% to 40%,SCD rating: 50% to 60%,SCD rating: 70% to 90%,SCD rating: 100%,Age: 17-44,Age: 45-64,Age: 65 or older,Male,Female
8051,Colorado,Gunnison,196,55,19,31,53,38,56,53,87,178,18
8053,Colorado,Hinsdale,18,,,,,,,,,,
8055,Colorado,Huerfano,248,44,24,25,81,74,32,69,147,223,25
8057,Colorado,Jackson,22,,,,,,,,,,
8059,Colorado,Jefferson,"8,678","2,081","1,245","1,176","2,365","1,811","3,001","2,410","3,267","7,642","1,034"
8061,Colorado,Kiowa,28,,,,,,,,13,,
8063,Colorado,Kit Carson,82,20,,,24,16,20,25,37,,
8065,Colorado,Lake,98,22,11,10,28,27,33,28,37,80,18
8067,Colorado,La Plata,916,210,100,128,264,214,243,287,386,816,100
8069,Colorado,Larimer,"6,780","1,765",875,884,"1,826","1,430","2,512","1,734","2,534","5,992",786
8071,Colorado,Las Animas,384,71,32,36,107,138,63,115,206,344,40
8073,Colorado,Lincoln,112,16,14,19,34,29,35,29,48,98,14
8075,Colorado,Logan,348,101,42,53,86,66,77,103,168,317,31
8077,Colorado,Mesa,"5,370","1,622",680,650,"1,327","1,091","1,313","1,531","2,526","4,820",550
8079,Colorado,Mineral,24,,,,11,,,,,,
8081,Colorado,Moffat,282,83,30,41,73,55,70,75,137,257,25
8083,Colorado,Montezuma,788,208,102,101,203,174,155,224,409,709,79
8085,Colorado,Montrose,"1,134",385,140,118,260,231,241,278,615,"1,032",102
8087,Colorado,Morgan,331,79,42,49,97,64,96,96,139,299,32
8089,Colorado,Otero,398,84,44,53,107,110,81,110,207,362,36
8091,Colorado,Ouray,119,38,13,14,32,22,31,27,61,109,10
8093,Colorado,Park,556,119,51,61,162,163,143,182,231,486,70
8095,Colorado,Phillips,60,14,,11,19,,17,14,29,,
8097,Colorado,Pitkin,83,32,,,17,15,19,24,40,,
8099,Colorado,Prowers,220,73,20,22,55,50,37,54,129,,
8101,Colorado,Pueblo,"5,446",881,522,624,"1,735","1,684","1,627","1,638","2,181","4,798",648
8103,Colorado,Rio Blanco,145,51,24,21,25,24,35,33,77,132,13
8105,Colorado,Rio Grande,257,51,24,29,78,75,44,81,132,235,22
8107,Colorado,Routt,252,78,35,31,64,44,51,73,128,234,18
8109,Colorado,Saguache,117,21,,,32,43,22,37,58,100,17
8111,Colorado,San Juan,17,,,,,,,,,,
8113,Colorado,San Miguel,72,23,12,10,17,10,23,21,28,61,11
8115,Colorado,Sedgwick,43,13,,,,12,,,32,,
8117,Colorado,Summit,257,64,31,42,75,45,88,84,85,224,33
8119,Colorado,Teller,"1,342",241,128,156,381,436,322,513,507,"1,174",168
8121,Colorado,Washington,73,,13,,22,19,15,26,32,,
8123,Colorado,Weld,"6,067","1,394",753,805,"1,752","1,363","2,421","1,731","1,915","5,389",678
8125,Colorado,Yuma,86,19,18,10,23,16,13,21,52,,
9110,Connecticut,Capitol,"10,233","2,724","1,314","1,236","2,688","2,271","3,135","2,920","4,178","9,094","1,137"
9120,Connecticut,Greater Bridgeport,"1,828",467,223,241,505,392,534,494,800,"1,633",195
9130,Connecticut,Lower Connecticut River Valley,"2,303",602,318,304,603,476,672,629,"1,002","2,090",213
9140,Connecticut,Naugatuck Valley,"4,551","1,150",579,564,"1,282",976,"1,507","1,152","1,892","4,147",402
9150,Connecticut,Northeastern Connecticut,"1,861",459,225,245,537,395,520,580,761,"1,710",149
9160,Connecticut,Northwest Hills,"1,340",346,197,160,331,306,377,318,645,"1,228",112
9170,Connecticut,South Central Connecticut,"5,542","1,408",660,659,"1,500","1,315","1,629","1,419","2,494","4,981",560
9180,Connecticut,Southeastern Connecticut,"6,329","1,411",763,900,"1,932","1,323","2,044","2,204","2,081","5,641",688
9190,Connecticut,Western Connecticut,"2,833",728,346,346,754,659,866,690,"1,277","2,607",225
10001,Delaware,Kent,"7,050","1,148",733,882,"2,275","2,012","1,646","2,736","2,667","5,860","1,189"
10003,Delaware,New Castle,"7,491","1,475",841,890,"2,352","1,933","1,871","2,566","3,054","6,422","1,069"
10005,Delaware,Sussex,"4,953","1,081",567,615,"1,453","1,237",834,"1,294","2,825","4,390",561
11001,District Of Columbia,District Of Columbia,"7,384","1,294",828,925,"2,196","2,141","2,824","2,496","2,064","5,925","1,459"
12001,Florida,Alachua,"5,640","1,133",618,695,"1,621","1,573","1,476","1,876","2,288","4,834",803
12003,Florida,Baker,807,148,80,90,241,248,210,293,304,728,79
12005,Florida,Bay,"10,325","1,911","1,063","1,120","2,872","3,359","2,378","4,180","3,767","8,811","1,514"
12007,Florida,Bradford,891,183,92,109,249,258,197,321,373,805,86
12009,Florida,Brevard,"29,014","5,240","2,806","3,196","8,600","9,172","6,905","10,593","11,516","25,088","3,924"
12011,Florida,Broward,"21,025","3,755","2,044","2,223","6,388","6,615","6,942","7,408","6,675","18,035","2,984"
